article,struct,fired,bucket
32306854777,D11,bmw|vag|honda|nissan,multi
51227318418,D11,bmw|vag|honda|nissan,multi
11247572225,D11,bmw|vag|honda|nissan,multi
66202241247,D11,bmw|vag|honda|nissan,multi
52202993793,D11,bmw|vag|honda|nissan,multi
51477481099,D11,bmw|vag|honda|nissan,multi
11741288474,D11,bmw|vag|honda|nissan,multi
25110434218,D11,bmw|vag|honda|nissan,multi
85452536852,D11,bmw|vag|honda|nissan,multi
51427281096,D11,bmw|vag|honda|nissan,multi
34116750693,D11,bmw|vag|honda|nissan,multi
51437364037,D11,bmw|vag|honda|nissan,multi
51169388778,D11,bmw|vag|honda|nissan,multi
51117416055,D11,bmw|vag|honda|nissan,multi
25111220327,D11,bmw|vag|honda|nissan,multi
51748417216,D11,bmw|vag|honda|nissan,multi
07119919614,D11,bmw|vag|honda|nissan,multi
32306884650,D11,bmw|vag|honda|nissan,multi
51416983693,D11,bmw|vag|honda|nissan,multi
23018304909,D11,bmw|vag|honda|nissan,multi
80162348177,D11,bmw|vag|honda|nissan,multi
51167189727,D11,bmw|vag|honda|nissan,multi
51237184457,D11,bmw|vag|honda|nissan,multi
51427940303,D11,bmw|vag|honda|nissan,multi
62131369979,D11,bmw|vag|honda|nissan,multi
