article,struct,fired,bucket
72511VK8J50MP,D5L2D1L1D2L2,honda,own_only
72147TETH71YE,D5L4D2L2,honda,own_only
81139K35V00ZP,D5L1D2L1D2L2,honda,own_only
87128HC5670ZA,D5L2D4L2,honda,own_only
67410S9V305ZZ,D5L1D1L1D3L2,honda,own_only
86641MKYDN0ZA,D5L5D1L2,honda,own_only
78165SA5003ZQ,D5L2D4L2,honda,own_only
28400ZH8R12ZA,D5L2D1L1D2L2,honda,own_only
75833SB3961ZK,D5L2D4L2,honda,own_only
64305K1YDC0ZE,D5L1D1L3D1L2,honda,own_only
81425MZ3770ZE,D5L2D4L2,honda,own_only
83201SM4000ZR,D5L2D4L2,honda,own_only
77231SB2782ZA,D5L2D4L2,honda,own_only
53240MJ1832ZA,D5L2D4L2,honda,own_only
86192MFNK00ZA,D5L4D2L2,honda,own_only
04816SM4G10ZB,D5L2D1L1D2L2,honda,own_only
08703NH756PHE,D5L2D3L3,honda,own_only
71125SWWE31ZD,D5L4D2L2,honda,own_only
76810SV7A02ZB,D5L2D1L1D2L2,honda,own_only
33902TF0E11ZU,D5L2D1L1D2L2,honda,own_only
83261MEE000ZB,D5L3D3L2,honda,own_only
64341K2LD00ZC,D5L1D1L2D2L2,honda,own_only
83301SH5G11ZB,D5L2D1L1D2L2,honda,own_only
60740SA5601ZZ,D5L2D4L2,honda,own_only
64223MR5010ZA,D5L2D4L2,honda,own_only
18220SR3J11,D5L2D1L1D2,honda|nissan,multi
133465A2A01,D6L1D1L1D2,honda|nissan,multi
16940MJ0000,D5L2D4,honda|nissan,multi
64490692730,D11,bmw|vag|honda|nissan,multi
38550V15003,D5L1D5,honda|nissan,multi
118575G0A00,D6L1D1L1D2,honda|nissan,multi
33102MASG01,D5L4D2,honda|nissan,multi
78102YE9003,D5L2D4,honda|nissan,multi
38460SA0963,D5L2D4,honda|nissan,multi
64232MKND10,D5L4D2,honda|nissan,multi
50367MS9750,D5L2D4,honda|nissan,multi
53165165000,D11,bmw|vag|honda|nissan,multi
22534VA9E50,D5L2D1L1D2,honda|nissan,multi
64821671010ZD,D11L2,vag|honda,multi
81182MKCA00,D5L4D2,honda|nissan,multi
16950KPC642,D5L3D3,honda|nissan,multi
16700ZZ3003,D5L2D4,honda|nissan,multi
47510657921,D11,bmw|vag|honda|nissan,multi
950053506020,D12,vag|toyota|honda,multi
45022SA7951,D5L2D4,honda|nissan,multi
33900T5RA01,D5L1D1L2D2,honda|nissan,multi
18325KB7010,D5L2D4,honda|nissan,multi
18320414000,D11,bmw|vag|honda|nissan,multi
42700SH4939,D5L2D4,honda|nissan,multi
35010MB9700,D5L2D4,honda|nissan,multi
641A1MB6611ZA,D3L1D1L2D4L2,<none>,none
17S6A0E1,D2L1D1L1D1L1D1,<none>,none
08L51MFA83001,D2L1D2L3D5,<none>,none
67KJ900Z,D2L2D3L1,<none>,none
13ZV90GB,D2L2D2L2,<none>,none
3RMEN611,D1L4D3,<none>,none
18SA51F1,D2L2D2L1D1,<none>,none
837A0MB1000ZC,D3L1D1L2D4L2,<none>,none
08V31SR400005,D2L1D2L2D6,<none>,none
08L14E09600W,D2L1D2L1D5L1,<none>,none
13MB2DEA,D2L2D1L3,<none>,none
13GB5CEB,D2L2D1L3,<none>,none
08AUDTJA001XL,D2L6D3L2,<none>,none
07NAFSR30101,D2L5D5,<none>,none
6282201,D7,<none>,none
17S820ZD,D2L1D3L2,<none>,none
99MZ801,D2L2D3,<none>,none
643A0GAH700ZB,D3L1D1L3D3L2,<none>,none
08L90T5AK7PR,D2L1D2L1D1L2D1L2,<none>,none
GXV160K1MY7OH,L3D3L1D1L2D1L2,<none>,none
3CVH4F00,D1L3D1L1D2,<none>,none
08F01SMG6C0D,D2L1D2L3D1L1D1L1,<none>,none
08H26R1L11KM,D2L1D2L1D1L1D2L2,<none>,none
08L55KTF8A0B,D2L1D2L3D1L1D1L1,<none>,none
18SZ30E1,D2L2D2L1D1,<none>,none
