article,struct,fired,bucket
A21173003289E65,L1D11L1D2,mercedes|vag,multi
A2045847082Z105,L1D10L1D3,mercedes|vag,multi
A19781008763434,L1D14,mercedes|vag,multi
A199350071480,L1D12,mercedes|vag,multi
A20972054709B50,L1D11L1D2,mercedes|vag,multi
A2055849019Z118,L1D10L1D3,mercedes|vag,multi
A16676619060053,L1D14,mercedes|vag,multi
A16792086238U01,L1D11L1D2,mercedes|vag,multi
A16791008018AJ0,L1D11L2D1,mercedes|vag,multi
A21392095038U53,L1D11L1D2,mercedes|vag,multi
A16688516229799,L1D14,mercedes|vag,multi
A2044402613,L1D10,mercedes|vag|nissan,multi
A16669044501C31,L1D11L1D2,mercedes|vag,multi
A1646701411,L1D10,mercedes|vag|nissan,multi
A21191834368L36,L1D11L1D2,mercedes|vag,multi
A211330170164,L1D12,mercedes|vag,multi
A21768012488T47,L1D11L1D2,mercedes|vag,multi
A21191029968K59,L1D11L1D2,mercedes|vag,multi
A1679004415,L1D10,mercedes|vag|nissan,multi
A1909108701,L1D10,mercedes|vag|nissan,multi
A16768039008W99,L1D11L1D2,mercedes|vag,multi
A17268024009051,L1D14,mercedes|vag,multi
A21268066013D16,L1D11L1D2,mercedes|vag,multi
A16690085009051,L1D14,mercedes|vag,multi
A1975016882,L1D10,mercedes|vag|nissan,multi
