article,struct,fired,bucket
MB835016,L2D6,mitsubishi,own_only
MB338622,L2D6,mitsubishi,own_only
5253J390,D4L1D3,mitsubishi,own_only
MR961711,L2D6,mitsubishi,own_only
MB147102,L2D6,mitsubishi,own_only
MB969335,L2D6,mitsubishi,own_only
MD102236,L2D6,mitsubishi,own_only
ME741421,L2D6,mitsubishi,own_only
MR954548,L2D6,mitsubishi,own_only
MR194958,L2D6,mitsubishi,own_only
MB415643,L2D6,mitsubishi,own_only
MB750237,L2D6,mitsubishi,own_only
MN102640,L2D6,mitsubishi,own_only
MB718770,L2D6,mitsubishi,own_only
MR331131,L2D6,mitsubishi,own_only
MB852533,L2D6,mitsubishi,own_only
MB338006,L2D6,mitsubishi,own_only
MR129852,L2D6,mitsubishi,own_only
MB707362,L2D6,mitsubishi,own_only
MR915308,L2D6,mitsubishi,own_only
MB235934,L2D6,mitsubishi,own_only
MB506052,L2D6,mitsubishi,own_only
MB767006,L2D6,mitsubishi,own_only
MR196134,L2D6,mitsubishi,own_only
MR572796,L2D6,mitsubishi,own_only
AW331265,L2D6,mercedes|mitsubishi,multi
MW30620728,L2D8,vag|nissan,multi
MW30652288,L2D8,vag|nissan,multi
AW332564,L2D6,mercedes|mitsubishi,multi
24125W026P,D5L1D3L1,honda|nissan,multi
AW337645,L2D6,mercedes|mitsubishi,multi
MW30899628,L2D8,vag|nissan,multi
AW326916,L2D6,mercedes|mitsubishi,multi
MW30623380,L2D8,vag|nissan,multi
MW30620725,L2D8,vag|nissan,multi
AW330121,L2D6,mercedes|mitsubishi,multi
AW338030,L2D6,mercedes|mitsubishi,multi
89844W041P,D5L1D3L1,honda|nissan,multi
MW30750750,L2D8,vag|nissan,multi
AW335658,L2D6,mercedes|mitsubishi,multi
90810W057P,D5L1D3L1,honda|nissan,multi
MW30621266,L2D8,vag|nissan,multi
24014W362P,D5L1D3L1,honda|nissan,multi
82820W090P,D5L1D3L1,honda|nissan,multi
AW341061,L2D6,mercedes|mitsubishi,multi
AW332669,L2D6,mercedes|mitsubishi,multi
AW329492,L2D6,mercedes|mitsubishi,multi
24014W373P,D5L1D3L1,honda|nissan,multi
98510W161P,D5L1D3L1,honda|nissan,multi
AW334912,L2D6,mercedes|mitsubishi,multi
P580422,L1D6,<none>,none
Z0614617,L1D7,<none>,none
Z3334758,L1D7,<none>,none
P57S0222,L1D2L1D4,<none>,none
MME50445,L3D5,<none>,none
M816523,L1D6,<none>,none
12380FA2,D5L2D1,<none>,none
Z5734211,L1D7,<none>,none
MME31693,L3D5,<none>,none
M114500,L1D6,<none>,none
P6L,L1D1L1,<none>,none
Z5723720,L1D7,<none>,none
Z0485036,L1D7,<none>,none
Z5134024,L1D7,<none>,none
PL0911,L2D4,<none>,none
M862412,L1D6,<none>,none
Z0282906,L1D7,<none>,none
M811888,L1D6,<none>,none
Z5915002,L1D7,<none>,none
Z0813340L,L1D7L1,<none>,none
Z6084110,L1D7,<none>,none
Z1022402,L1D7,<none>,none
RE200206C,L2D6L1,<none>,none
Z1039100,L1D7,<none>,none
M814718,L1D6,<none>,none
