article,struct,fired,bucket
D03001KA2A,L1D5L2D1L1,nissan,own_only
999MBMP001,D3L4D3,nissan,own_only
990A0C9901,D3L1D1L1D4,nissan,own_only
284B14CB9C,D3L1D2L2D1L1,nissan,own_only
KE73800QEG,L2D5L3,nissan,own_only
WYZBR7098W,L5D4L1,nissan,own_only
TYBRI10917,L5D5,nissan,own_only
WYZGY141193,L5D6,nissan,own_only
K9810VC009,L1D4L2D3,nissan,own_only
985P14X00B,D3L1D2L1D2L1,nissan,own_only
MCDNISK0218,L7D4,nissan,own_only
999J1MX70A,D3L1D1L2D2L1,nissan,own_only
WYZBR6496W,L5D4L1,nissan,own_only
KE8406F000,L2D4L1D3,nissan,own_only
E01009X013,L1D5L1D3,nissan,own_only
WYZGY526739,L5D6,nissan,own_only
WYZCO362737,L5D6,nissan,own_only
DELEAF001XL,L6D3L2,nissan,own_only
KE8574K00A,L2D4L1D2L1,nissan,own_only
479A66RR1B,D3L1D2L2D1L1,nissan,own_only
237E0BV80A,D3L1D1L2D2L1,nissan,own_only
E01705JUBA,L1D5L4,nissan,own_only
KE2805SAAA,L2D4L4,nissan,own_only
D40F0CD00B,L1D2L1D1L2D2L1,nissan,own_only
K85153J325,L1D5L1D3,nissan,own_only
92480D4501,D5L1D4,honda|nissan,multi
96935VL15A,D5L2D2L1,honda|nissan,multi
C92054EB0A,L1D5L2D1L1,mercedes|nissan,multi
2754206J00,D7L1D2,honda|nissan,multi
2655993J00,D7L1D2,honda|nissan,multi
397746FL0A,D6L2D1L1,honda|nissan,multi
24014HX04D,D5L2D2L1,honda|nissan,multi
96301AX60A,D5L2D2L1,honda|nissan,multi
1655869A06,D7L1D2,honda|nissan,multi
285567C125,D6L1D3,honda|nissan,multi
14666D8701,D5L1D4,honda|nissan,multi
27660CF40A,D5L2D2L1,honda|nissan,multi
22453D3312,D5L1D4,honda|nissan,multi
873708H40A,D6L1D2L1,honda|nissan,multi
150433HD1A,D6L2D1L1,honda|nissan,multi
3201057G67,D7L1D2,honda|nissan,multi
3975271J00,D7L1D2,honda|nissan,multi
48810EM01A,D5L2D2L1,honda|nissan,multi
999118022030,D12,vag|toyota|honda,multi
2312417B10,D7L1D2,honda|nissan,multi
995019C101,D6L1D3,honda|nissan,multi
237038DB0A,D6L2D1L1,honda|nissan,multi
668623TA0A,D6L2D1L1,honda|nissan,multi
68211BU200,D5L2D3,honda|nissan,multi
B617056G00,L1D6L1D2,mercedes|nissan,multi
1519156,D7,<none>,none
992105,D6,<none>,none
9630166,D7,<none>,none
2641328,D7,<none>,none
TYBRI6597,L5D4,<none>,none
32183030,D8,<none>,none
WYZKL127722W,L5D6L1,<none>,none
WYZGY521011W,L5D6L1,<none>,none
01450350,D8,<none>,none
0171580,D7,<none>,none
9996XL0441170,D4L2D7,<none>,none
KEY004A00DCB,L3D3L1D2L3,<none>,none
KE998ZW625CC,L2D3L2D3L2,<none>,none
2268042,D7,<none>,none
SS010254G,L2D6L1,<none>,none
01T4813,D2L1D4,<none>,none
9101201,D7,<none>,none
WYZCO351963W,L5D6L1,<none>,none
11251010,D8,<none>,none
WYZCO350124W,L5D6L1,<none>,none
WYZGY526802W,L5D6L1,<none>,none
WYZBR6348,L5D4,<none>,none
WYZMI215770W,L5D6L1,<none>,none
WYZMI980809W,L5D6L1,<none>,none
994180,D6,<none>,none
