article,struct,fired,bucket
7150060131E2,D10L1D1,vag|toyota|honda,multi
0443810030,D10,vag|toyota|honda|nissan,multi
4038526328939,D13,vag|honda,multi
4968814924201,D13,vag|honda,multi
5212760210,D10,vag|toyota|honda|nissan,multi
53101F6060,D5L1D4,honda|nissan,multi
4260312050,D10,vag|toyota|honda|nissan,multi
4019238434033,D13,vag|honda,multi
5215960947,D10,vag|toyota|honda|nissan,multi
8380002P92,D7L1D2,honda|nissan,multi
6231653010C0,D10L1D1,vag|toyota|honda,multi
6810548210,D10,vag|toyota|honda|nissan,multi
8871660480,D10,vag|toyota|honda|nissan,multi
896612B490,D6L1D3,honda|nissan,multi
8713826010,D10,vag|toyota|honda|nissan,multi
4311060473,D10,vag|toyota|honda|nissan,multi
17141F2390,D5L1D4,honda|nissan,multi
3528703361718,D13,vag|honda,multi
4642052500,D10,vag|toyota|honda|nissan,multi
76813V2040,D5L1D4,honda|nissan,multi
531210K460,D6L1D3,honda|nissan,multi
6740378020,D10,vag|toyota|honda|nissan,multi
4038526521248,D13,vag|honda,multi
7432016531B0,D10L1D1,vag|toyota|honda,multi
6791450152A1,D10L1D1,vag|toyota|honda,multi
DUNCHG0420701,L6D7,<none>,none
PZ415V049000,L2D3L1D6,<none>,none
PZ410T035ABA,L2D3L1D3L3,<none>,none
8794A30E00C2,D4L1D2L1D2L1D1,<none>,none
8794A76070B1,D4L1D5L1D1,<none>,none
DENGS0236057,L5D7,<none>,none
TBMM9GSLTSXS,L4D1L7,<none>,none
PZ415T049202,L2D3L1D6,<none>,none
PZ462X037201,L2D3L1D6,<none>,none
PZ48VOT14710,L2D2L3D5,<none>,none
TBMTO17D5CAP,L5D2L1D1L3,<none>,none
PZ49X52M46EN,L2D2L1D2L1D2L2,<none>,none
DUNCHG5518266,L6D7,<none>,none
TMEWA76N637X,L5D2L1D3L1,<none>,none
DENGW118168L,L5D6L1,<none>,none
DUNCHG0449566,L6D7,<none>,none
8791A50730E1,D4L1D5L1D1,<none>,none
TMEWS020102Y,L5D6L1,<none>,none
PZ451X0531ZA,L2D3L1D4L2,<none>,none
PZ49NLIS14BC,L2D2L4D2L2,<none>,none
DUNCHG0833181,L6D7,<none>,none
DENGS0097420,L5D7,<none>,none
PW2200R201C2,L2D4L1D3L1D1,<none>,none
PZ49X9AH55DE,L2D2L1D1L2D2L2,<none>,none
PZ47148F95DE,L2D5L1D2L2,<none>,none
