article,struct,fired,bucket
4S8881259,D1L1D7,vag,own_only
7P6885805HKFOT,D1L1D7L5,vag,own_only
8X2863484A4PK,D1L1D7L1D1L2,vag,own_only
4F2857410J01C,D1L1D7L1D2L1,vag,own_only
5H6867209AMZFX,D1L1D7L5,vag,own_only
TAC863715,L3D6,vag,own_only
4A9861325AADA,D1L1D7L4,vag,own_only
5NN807568E041,D1L2D6L1D3,vag,own_only
5Q0614517GABEF,D1L1D7L5,vag,own_only
1T0885805AALOH,D1L1D7L5,vag,own_only
7LA199370,D1L2D6,vag,own_only
5C7863011JBCB,D1L1D7L4,vag,own_only
8W0867303ADLCB,D1L1D7L5,vag,own_only
8E0881901B6D6,D1L1D7L1D1L1D1,vag,own_only
3D5885215G95T,D1L1D7L1D2L1,vag,own_only
1K0947109NX1,D1L1D7L2D1,vag,own_only
14A867210BOJX,D2L1D6L4,vag,own_only
5K7809836,D1L1D7,vag,own_only
4M0881903MBI1,D1L1D7L3D1,vag,own_only
1T3810670,D1L1D7,vag,own_only
3C0953509,D1L1D7,vag,own_only
5M0877234,D1L1D7,vag,own_only
80A885704BHZC1,D2L1D6L4D1,vag,own_only
80A601433BRCO,D2L1D6L4,vag,own_only
4L0898631DY7,D1L1D7L2D1,vag,own_only
1T0010000A,D1L1D7L1,vag|nissan,multi
5K0133321G,D1L1D7L1,vag|nissan,multi
7E0945208G,D1L1D7L1,vag|nissan,multi
1T0971930C,D1L1D7L1,vag|nissan,multi
6Q0129607AR,D1L1D7L2,vag|nissan,multi
2HJ413031AM,D1L2D6L2,vag|nissan,multi
8E0254550AX,D1L1D7L2,vag|nissan,multi
6Q0254700DV,D1L1D7L2,vag|nissan,multi
7L6821101K,D1L1D7L1,vag|nissan,multi
1EA513049BE,D1L2D6L2,vag|nissan,multi
4F0261600A,D1L1D7L1,vag|nissan,multi
1C0121206B,D1L1D7L1,vag|nissan,multi
8E1880303B,D1L1D7L1,vag|nissan,multi
4M0145932K,D1L1D7L1,vag|nissan,multi
3Q0122109B,D1L1D7L1,vag|nissan,multi
6Q2612041A,D1L1D7L1,vag|nissan,multi
7H0203551A,D1L1D7L1,vag|nissan,multi
8P0012619A,D1L1D7L1,vag|nissan,multi
N90294116,L1D8,mercedes|vag,multi
077253158A,D9L1,vag|honda|nissan,multi
8S0035411B,D1L1D7L1,vag|nissan,multi
06J198401H,D2L1D6L1,vag|nissan,multi
2E0959561AG,D1L1D7L2,vag|nissan,multi
7P6971384E,D1L1D7L1,vag|nissan,multi
7E2941005F,D1L1D7L1,vag|nissan,multi
DFO4502M2,L3D4L1D1,<none>,none
LST0P2Z6W,L3D1L1D1L1D1L1,<none>,none
LLS0U6Y9K,L3D1L1D1L1D1L1,<none>,none
LST0P2C3R,L3D1L1D1L1D1L1,<none>,none
LST0M2B5Q,L3D1L1D1L1D1L1,<none>,none
LST0M2D7M,L3D1L1D1L1D1L1,<none>,none
LLS0U6B1M,L3D1L1D1L1D1L1,<none>,none
LST0P2Z7R,L3D1L1D1L1D1L1,<none>,none
LST0U2Y1C,L3D1L1D1L1D1L1,<none>,none
LLS0P6Z9Y,L3D1L1D1L1D1L1,<none>,none
LST0M2D7P,L3D1L1D1L1D1L1,<none>,none
LST0M2Y7W,L3D1L1D1L1D1L1,<none>,none
LLS0P6Z3N,L3D1L1D1L1D1L1,<none>,none
L0A2A01,L1D1L1D1L1D2,<none>,none
LST0P2C6P,L3D1L1D1L1D1L1,<none>,none
LST0M2D7R,L3D1L1D1L1D1L1,<none>,none
LLS0M6B5S,L3D1L1D1L1D1L1,<none>,none
GF53034M2,L2D5L1D1,<none>,none
LST0M2A5W,L3D1L1D1L1D1L1,<none>,none
L0Z4V06,L1D1L1D1L1D2,<none>,none
D177500A1,L1D6L1D1,<none>,none
LST0P2C9X,L3D1L1D1L1D1L1,<none>,none
D600100A1,L1D6L1D1,<none>,none
LST0M2Y8X,L3D1L1D1L1D1L1,<none>,none
LLS0U3L7E,L3D1L1D1L1D1L1,<none>,none
