article,len,svc,bfm,bmw_prob,honda_prob,mercedes_prob,mitsubishi_prob,nissan_prob,toyota_prob,unknown_article_prob,vag_prob
08210873402,11,honda,bmw,0.9956474428726877,0.003264417845484222,0.0,0.0,0.001088139281828074,0.0,0.0,0.0
37510PNB003,11,honda,manual_check,0.0031872509960159364,0.6677290836653387,0.0,0.0,0.31633466135458166,0.012749003984063745,0.0,0.0
36532P3FA01,11,honda,manual_check,0.00523168908819133,0.7257100149476831,0.0,0.0,0.26756352765321373,0.0014947683109118087,0.0,0.0
B33J51833AV,11,honda,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
AW5RU0400LL,11,honda,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
44014S04951,11,honda,manual_check,0.007858546168958742,0.14931237721021612,0.0,0.0,0.7229862475442044,0.11984282907662082,0.0,0.0
52610SZAA04,11,honda,manual_check,0.001455604075691412,0.6128093158660844,0.0,0.010189228529839884,0.3304221251819505,0.04512372634643377,0.0,0.0
91304P0H013,11,honda,manual_check,0.0020060180541624875,0.26078234704112335,0.0,0.0010030090270812437,0.4002006018054162,0.33600802407221664,0.0,0.0
AOA00013XXX,11,honda,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
22201MASE00,11,honda,manual_check,0.0125,0.64,0.0,0.0,0.33625,0.01125,0.0,0.0
71193S9A000,11,honda,manual_check,0.003134796238244514,0.6669278996865203,0.0,0.007053291536050157,0.3056426332288401,0.017241379310344827,0.0,0.0
19305PT0000,11,honda,manual_check,0.003134796238244514,0.6669278996865203,0.0,0.007053291536050157,0.3056426332288401,0.017241379310344827,0.0,0.0
3L2Z7B215AA,11,honda,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
1118G410040,11,honda,manual_check,0.0,0.09893307468477207,0.0,0.0,0.17070805043646944,0.7303588748787585,0.0,0.0
51406SZAA04,11,honda,manual_check,0.002242152466367713,0.7062780269058296,0.0,0.0,0.2701793721973094,0.021300448430493273,0.0,0.0
42200SCC003,11,honda,manual_check,0.0125,0.64,0.0,0.0,0.33625,0.01125,0.0,0.0
11SCT8020RA,11,honda,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
