article,count
4PK845,86
4PK815,70
4PK850,69
6PK995,61
5PK970,59
1001,53
2262,43
4PK890,43
9005,41
75D23L,41
4PK835,40
1521,39
1803,38
7507,38
12104,38
6203,34
7515,33
3201,32
3045,32
1522,31
20181,31
9042,30
4305,30
7511,30
1807,29
8505,29
3640,29
2037,29
6PK698,29
7506,28
21099,28
2382,28
1817,28
20048,28
4912,28
3PK665,28
4PK855,28
11136,28
5118,27
2316,27
7516,27
4501,27
2376,27
23202,27
21145,27
1578,26
21216,26
1407,26
9510,26
55330,26
5165,26
7528,25
1675,25
1907,25
7615,25
7001,25
3811,25
9232,25
21829,24
20734,24
21018,24
43001,24
20957,24
4607,24
19192,23
5521,23
8609,23
17635,23
7540,23
4559,22
19190,22
2355,22
20730,22
4PK875,22
20539,22
2397,21
9219,21
9247,21
32700,21
4PK810,21
9249,21
5PK870,21
20355,21
3362,21
12518,21
1891,20
20391,20
1101,20
20911,20
4PK885,20
4PK820,20
4445,20
11100,20
19193,19
2825,19
40022,19
7616,19
20707,19
32600,19
20668,19
